Utterance,Classification,Questions
Proceeding to exit door,Medium level understandability,Can you specify the next room we are moving to? Is it safe?
Proceeding to exit door,Understandable,How many rooms do we need to pass through?
Proceeding to exit door,Not understandable,What is the next room? Are there any dangers?
Proceeding to exit door,Medium level understandability,What is the next room number? Is it safe?
Proceeding to exit door,Understandable,How many rooms are between us and the exit?
Proceeding to exit door,Not understandable,Where are we heading next? Are there any hazards?
Proceeding to exit door,Medium level understandability,What is the next room we are going to? Are there any obstacles?
Proceeding to exit door,Understandable,What rooms will we pass through?
Proceeding to exit door,Not understandable,Which room are we moving to? How long will it take?
Proceeding to exit door,Medium level understandability,What is the next room number? Are there any hazards?
Proceeding to exit door,Understandable,How long will it take to reach the exit?
Proceeding to exit door,Not understandable,What is our next destination? How many rooms will we pass through?
Proceeding to exit door,Medium level understandability,Can you specify the next room? Are there any obstacles in the way?
Proceeding to exit door,Understandable,How many rooms are we passing through?
Proceeding to exit door,Not understandable,Where are we heading next? Are there any dangers?
Proceeding to exit door,Medium level understandability,What is the next room we are going to? Is it safe?
Proceeding to exit door,Understandable,What rooms will we pass through?
Proceeding to exit door,Not understandable,Which room are we moving to? Are there any hazards?
Proceeding to exit door,Medium level understandability,What is the next room number? Is the path clear?
Proceeding to exit door,Understandable,How long will it take to get to the exit?
Proceeding to exit door,Not understandable,What is our route? Are there any obstacles?
Proceeding to exit door,Medium level understandability,Can you specify the next room we are moving to? Is it safe?
Proceeding to exit door,Understandable,How many rooms do we need to pass through?
Proceeding to exit door,Not understandable,What is the next room? Are there any dangers?
Proceeding to exit door,Medium level understandability,What is the next room number? Is it safe?
Proceeding to exit door,Understandable,How many rooms are between us and the exit?
Proceeding to exit door,Not understandable,Where are we heading next? Are there any hazards?
"Proceed to room 3,4,5,7 and then exit door.",Medium level understandability,How long will it take to reach the exit door? Are there any obstacles or dangers on the way?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,How long will it take to reach the exit?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,Are there any other people in the rooms we will pass?
"Proceed to room 3,4,5,7 and then exit door.",Not understandable,Are there any safety concerns we should be aware of?
"Proceed to room 3,4,5,7 and then exit door.",Medium level understandability,Are there any hazards in the next rooms?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,How many rooms are we passing through to reach the exit?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,How many rooms will we pass through before reaching the exit?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,Are there any obstacles or dangers on the way?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,Are there any other people in the rooms we will pass?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,How many rooms are we passing through?
"Proceed to room 3,4,5,7 and then exit door.",Medium level understandability,Are there any obstacles in the next rooms?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,How many rooms do we need to go through to reach the exit?
"Proceed to room 3,4,5,7 and then exit door.",Medium level understandability,Are there any obstacles or dangers on the way?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,Are there any dangers on the way?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,What rooms are between us and the exit?
"Proceed to room 3,4,5,7 and then exit door.",Medium level understandability,Are there any safety concerns we should be aware of?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,Are there any hazards in the next rooms?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,How long will it take to reach the exit?
"Proceed to room 3,4,5,7 and then exit door.",Medium level understandability,How many rooms will we pass through before reaching the exit?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,What should I be aware of on the way?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,How long will it take to reach the exit?
"Proceed to room 3,4,5,7 and then exit door.",Medium level understandability,Are there any obstacles or dangers on the way?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,Are there any obstacles in the way?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,How many rooms are we passing through?
"Proceed to room 3,4,5,7 and then exit door.",Not understandable,Are there any safety concerns we should be aware of?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,Are there any hazards in the next rooms?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,What rooms will we pass through?
"Proceed to room 3,4,5,7 and then exit door.",Medium level understandability,Are there any obstacles or dangers on the way?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,Are there any other people in the rooms we will pass?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,How many rooms are we passing through?
"Proceed to room 3,4,5,7 and then exit door.",Medium level understandability,Are there any obstacles or dangers on the way?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,Are there any safety concerns we should be aware of?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,How many rooms do we need to pass through?
"Proceed to room 3,4,5,7 and then exit door.",Medium level understandability,Are there any obstacles in the way?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,Are there any dangers on the way?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,What rooms are between us and the exit?
"Proceed to room 3,4,5,7 and then exit door.",Medium level understandability,Are there any obstacles or dangers on the way?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,Are there any hazards in the next rooms?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,How long will it take to reach the exit?
"Proceed to room 3,4,5,7 and then exit door.",Medium level understandability,How many rooms will we pass through before reaching the exit?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,Are there any obstacles in the way?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,How many rooms are we passing through?
"Proceed to room 3,4,5,7 and then exit door.",Medium level understandability,Are there any obstacles or dangers on the way?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,Are there any other people in the rooms we will pass?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,How many rooms are we passing through?
"Proceed to room 3,4,5,7 and then exit door.",Medium level understandability,Are there any obstacles or dangers on the way?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,Are there any safety concerns we should be aware of?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,How many rooms do we need to pass through?
"Proceed to room 3,4,5,7 and then exit door.",Medium level understandability,Are there any obstacles in the way?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,Are there any dangers on the way?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,What rooms are between us and the exit?
"Proceed to room 3,4,5,7 and then exit door.",Medium level understandability,Are there any obstacles or dangers on the way?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,Are there any hazards in the next rooms?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,How long will it take to reach the exit?
"Proceed to room 3,4,5,7 and then exit door.",Medium level understandability,How many rooms will we pass through before reaching the exit?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,Are there any obstacles in the way?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,How many rooms are we passing through?
"Proceed to room 3,4,5,7 and then exit door.",Medium level understandability,Are there any obstacles or dangers on the way?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,Are there any other people in the rooms we will pass?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,How many rooms are we passing through?
"Proceed to room 3,4,5,7 and then exit door.",Medium level understandability,Are there any obstacles or dangers on the way?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,Are there any safety concerns we should be aware of?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,How many rooms do we need to pass through?
"Proceed to room 3,4,5,7 and then exit door.",Medium level understandability,Are there any obstacles in the way?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,Are there any dangers on the way?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,What rooms are between us and the exit?
"Proceed to room 3,4,5,7 and then exit door.",Medium level understandability,Are there any obstacles or dangers on the way?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,Are there any hazards in the next rooms?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,How long will it take to reach the exit?
"Proceed to room 3,4,5,7 and then exit door.",Medium level understandability,How many rooms will we pass through before reaching the exit?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,Are there any obstacles in the way?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,How many rooms are we passing through?
"Proceed to room 3,4,5,7 and then exit door.",Medium level understandability,Are there any obstacles or dangers on the way?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,Are there any other people in the rooms we will pass?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,How many rooms are we passing through?
"Proceed to room 3,4,5,7 and then exit door.",Medium level understandability,Are there any obstacles or dangers on the way?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,Are there any safety concerns we should be aware of?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,How many rooms do we need to pass through?
"Proceed to room 3,4,5,7 and then exit door.",Medium level understandability,Are there any obstacles in the way?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,Are there any dangers on the way?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,What rooms are between us and the exit?
"Proceed to room 3,4,5,7 and then exit door.",Medium level understandability,Are there any obstacles or dangers on the way?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,Are there any hazards in the next rooms?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,How long will it take to reach the exit?
"Proceed to room 3,4,5,7 and then exit door.",Medium level understandability,How many rooms will we pass through before reaching the exit?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,Are there any obstacles in the way?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,How many rooms are we passing through?
"Proceed to room 3,4,5,7 and then exit door.",Medium level understandability,Are there any obstacles or dangers on the way?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,Are there any other people in the rooms we will pass?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,How many rooms are we passing through?
"Proceed to room 3,4,5,7 and then exit door.",Medium level understandability,Are there any obstacles or dangers on the way?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,Are there any safety concerns we should be aware of?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,How many rooms do we need to pass through?
"Proceed to room 3,4,5,7 and then exit door.",Medium level understandability,Are there any obstacles in the way?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,Are there any dangers on the way?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,What rooms are between us and the exit?
"Proceed to room 3,4,5,7 and then exit door.",Medium level understandability,Are there any obstacles or dangers on the way?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,Are there any hazards in the next rooms?
"Proceed to room 3,4,5,7 and then exit door.",Understandable,How long will it take to reach the exit?
"Proceed to room 3,4,5,7 and then exit door.",Medium level understandability,How many rooms will we pass through before reaching the exit?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Medium level understandability,Can you specify the rooms we will pass through?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Understandable,How long will it take to reach the exit?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Understandable,What rooms will we pass through?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Not understandable,Can you specify the rooms we are going through?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Medium level understandability,Are there any hazards in these rooms?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Understandable,How many rooms are we passing through to reach the exit?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Understandable,How many rooms will we pass through before reaching the exit?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Understandable,Are there any obstacles or dangers on the way?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Understandable,Are there any other people in the rooms we will pass?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Understandable,How many rooms are we passing through?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Medium level understandability,Are there any obstacles in the next rooms?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Understandable,How many rooms do we need to go through to reach the exit?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Medium level understandability,Are there any obstacles or dangers on the way?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Understandable,Are there any dangers on the way?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Understandable,What rooms are between us and the exit?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Medium level understandability,Are there any safety concerns we should be aware of?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Understandable,Are there any hazards in the next rooms?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Understandable,How long will it take to reach the exit?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Medium level understandability,How many rooms will we pass through before reaching the exit?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Understandable,What should I be aware of on the way?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Understandable,How long will it take to reach the exit?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Medium level understandability,Are there any obstacles or dangers on the way?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Understandable,Are there any obstacles in the way?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Understandable,How many rooms are we passing through?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Not understandable,Can you specify the rooms we are going through?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Medium level understandability,Are there any hazards in these rooms?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Understandable,What rooms will we pass through?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Medium level understandability,Are there any obstacles or dangers on the way?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Understandable,How long will it take to reach the exit?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Understandable,How many rooms are we passing through?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Medium level understandability,Are there any obstacles in the next rooms?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Understandable,Are there any other people in the rooms we will pass?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Understandable,How many rooms do we need to pass through?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Not understandable,What is the order of the rooms we are passing through?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Medium level understandability,Are there any dangers on the way?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Understandable,What rooms are between us and the exit?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Understandable,Are there any safety concerns we should be aware of?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Medium level understandability,How long will it take to reach the exit?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Understandable,How many rooms are we passing through to reach the exit?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Medium level understandability,Can you specify the rooms we will pass through? Are there any known hazards?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Not understandable,Can you provide a clearer explanation of the path we are taking?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Understandable,What rooms are between us and the exit? How clear is the path?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Understandable,Are there any specific hazards or obstructions in any of these rooms?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Medium level understandability,How many rooms until we reach the exit? Are there any stops or detours planned?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Understandable,Will there be any instructions or updates as we proceed through each room?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Not understandable,Is there a reason we are bypassing other rooms? Could you explain the selected route?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Medium level understandability,What is the reason for the specific room sequence?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Understandable,Can you provide updates as we move from room to room?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Understandable,Are there any signs or markers within these rooms to guide us?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Medium level understandability,How will we be notified of any changes to the exit route as we progress?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Understandable,How many rooms are we passing through? Are there designated safe spots in these rooms?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Not understandable,Could you provide more details about why we are visiting these specific rooms?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Medium level understandability,Are there any known issues in these rooms that we should be aware of?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Understandable,What is the estimated time to move through each room?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Medium level understandability,How are we being monitored for safety during this transit?
"(In room 1) “Proceeding to exit door” (In room 3) “Proceeding to exit door” (In room 4) ""Proceeding to exit door” (In room 5) ""Proceeding to exit door” (In room 7) “Proceed to exit door”",Understandable,Are there clear instructions for what to do in each room?
